variables,n_intvn,n_ctrl,Pre_intvn,Post_intvn,Pre_ctrl,Post_ctrl,stat_g,stat_t,stat_i,p_g,p_t,p_i,test
Waist.Circumference,12,8,104.01 ± 16.35,102.25 ± 16.1,102.84 ± 17.13,104.71 ± 17.25,0.007,0.009,8.578,0.933,0.926,0.009**,mixed ANOVA
HbA1c,9,6,40.56 ± 4.07,42.56 ± 4.03,42.83 ± 3.19,40.5 ± 3.27,0.004,0.056,9.416,0.953,0.817,0.009**,mixed ANOVA
BIA.Skeletal.Muscle.Mass.pct,10,8,27.12 ± 4.2,28.21 ± 4.47,28.58 ± 3.87,28.38 ± 3.66,0.179,2.205,4.511,0.678,0.157,0.05,mixed ANOVA
BIA.FMI.kg.m2,10,8,12.46 ± 5.06,12.19 ± 5.44,11.55 ± 3.41,11.85 ± 3.52,0.084,0.006,2.315,0.775,0.937,0.148,mixed ANOVA
Remnant.C,10,7,1 ± 0.45,1 ± 0.36,1.11 ± 0.41,1.36 ± 0.63,1.196,2.245,2.26,0.291,0.155,0.154,mixed ANOVA
BIA.FM.pct,10,8,39.46 ± 9.31,38.37 ± 10.29,38.11 ± 6.06,38.51 ± 5.61,0.024,0.479,2.229,0.879,0.499,0.155,mixed ANOVA
BIA.FM.kg,10,8,33.65 ± 13.01,33 ± 14.29,31.78 ± 10.25,32.62 ± 10.39,0.038,0.034,2.168,0.849,0.857,0.16,mixed ANOVA
BIA.FFM.pct,10,8,60.54 ± 9.31,61.61 ± 10.3,61.89 ± 6.07,61.5 ± 5.63,0.025,0.449,2.108,0.876,0.512,0.166,mixed ANOVA
BMI,12,8,31.05 ± 6.6,30.95 ± 6.78,30.09 ± 5.58,30.48 ± 5.78,0.062,0.652,1.933,0.806,0.43,0.181,mixed ANOVA
Weight,12,8,86.33 ± 22.34,86.03 ± 22.67,82.99 ± 19.42,83.97 ± 19.48,0.077,0.554,1.909,0.785,0.466,0.184,mixed ANOVA
non.HDL.C,10,7,2.34 ± 0.92,2.31 ± 0.7,2.66 ± 0.93,3.17 ± 1.36,1.844,1.433,1.849,0.195,0.25,0.194,mixed ANOVA
Clinical.LDL.C,10,7,1.84 ± 0.74,1.77 ± 0.51,2.15 ± 0.78,2.53 ± 1.1,2.46,0.784,1.738,0.138,0.39,0.207,mixed ANOVA
LDL.C,10,7,1.33 ± 0.48,1.3 ± 0.35,1.55 ± 0.53,1.8 ± 0.73,2.508,0.917,1.525,0.134,0.353,0.236,mixed ANOVA
Total.C,10,7,3.54 ± 1.15,3.54 ± 0.97,4.09 ± 1.02,4.54 ± 1.43,2.317,0.876,0.903,0.149,0.364,0.357,mixed ANOVA
pct.Body.Fat,8,7,34.41 ± 7,32.69 ± 8.86,32.47 ± 6.61,31.81 ± 6.98,0.137,3.164,0.636,0.717,0.099,0.44,mixed ANOVA
Dominant.hand.grip.strength,12,8,29.41 ± 7.41,31.63 ± 8.84,31.38 ± 7.26,35.17 ± 10.33,0.567,5.832,0.399,0.461,0.027*,0.536,mixed ANOVA
DXA.Total.Lean.Mass,7,7,54.04 ± 5.87,54.85 ± 8.22,54.27 ± 11.34,55.5 ± 12.53,0.007,2.588,0.112,0.934,0.134,0.743,mixed ANOVA
DXA.Total.Fat.Mass,8,7,31.2 ± 9.4,30.33 ± 10.71,28 ± 10.93,27.64 ± 10.62,0.306,0.554,0.094,0.589,0.47,0.764,mixed ANOVA
LDL.size,10,7,23.86 ± 0.08,23.85 ± 0.12,23.83 ± 0.12,23.83 ± 0.14,0.186,0.033,0.075,0.673,0.859,0.787,mixed ANOVA
BIA.FFMI.kg.m2,10,8,18.16 ± 3.39,18.27 ± 3.05,18.48 ± 2.97,18.55 ± 2.86,0.041,0.643,0.023,0.841,0.434,0.881,mixed ANOVA
DXA.VAT.mass,8,7,0.84 ± 0.27,0.85 ± 0.44,0.66 ± 0.24,0.68 ± 0.25,1.252,0.032,0.009,0.283,0.86,0.926,mixed ANOVA
VLDL.size,10,7,38.15 ± 2.03,38.47 ± 2.41,38.95 ± 2,39.25 ± 1.54,0.653,1.147,5.87e-4,0.432,0.301,0.981,mixed ANOVA
DXA.Appendicular.Lean.Index,8,7,7.92 ± 0.85,8.28 ± 1.4,8.04 ± 1.57,8.4 ± 1.82,0.029,3.032,2.93e-4,0.867,0.105,0.987,mixed ANOVA
VLDL.C,10,7,"0.34 (0.24, 0.57)","0.36 (0.24, 0.53)","0.35 (0.33, 0.39)","0.39 (0.35, 0.77)",180,109,NA,1,1,NA,MWU (group) / Wilcox (time)
HDL.C,10,7,"1.03 (0.94, 1.41)","1.05 (0.92, 1.32)","1.37 (1.21, 1.51)","1.27 (1.17, 1.5)",204,66,NA,0.4464,1,NA,MWU (group) / Wilcox (time)
Total.TG,10,7,"0.76 (0.57, 1.02)","0.65 (0.57, 1.56)","0.97 (0.86, 1.1)","1.13 (0.97, 1.8)",190,114,NA,1,1,NA,MWU (group) / Wilcox (time)
Total.P,10,7,"0.01 (0.01, 0.02)","0.01 (0.01, 0.02)","0.02 (0.02, 0.02)","0.02 (0.02, 0.02)",215,91,NA,0.14076,1,NA,MWU (group) / Wilcox (time)
VLDL.P,10,7,"0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)",180,107,NA,1,1,NA,MWU (group) / Wilcox (time)
LDL.P,10,7,"0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)",183,92,NA,1,1,NA,MWU (group) / Wilcox (time)
